,region,iso3,country,year,month,unrest_index
145,Eastern Africa,MWI,Malawi,2000,6,25
146,Eastern Africa,RWA,Rwanda,2000,6,175
147,Eastern Africa,SOM,Somalia,2000,6,475
148,Eastern Africa,UGA,Uganda,2000,6,1750
149,Middle Africa,AGO,Angola,2000,6,3050
150,Middle Africa,CMR,Cameroon,2000,6,25
151,Middle Africa,COD,Democratic Republic of Congo,2000,6,1750
152,Northern Africa,DZA,Algeria,2000,6,1575
153,Northern Africa,EGY,Egypt,2000,6,175
154,Northern Africa,MAR,Morocco,2000,6,70
155,Northern Africa,SDN,Sudan,2000,6,3640
156,Southern Africa,ZAF,South Africa,2000,6,385
157,Southern Africa,ZMB,Zambia,2000,6,0
158,Southern Africa,ZWE,Zimbabwe,2000,6,2225
159,Western Africa,GIN,Guinea,2000,6,285
160,Western Africa,GMB,Gambia,2000,6,150
161,Western Africa,GNB,Guinea-Bissau,2000,6,25
162,Western Africa,LBR,Liberia,2000,6,0
163,Western Africa,NER,Niger,2000,6,25
164,Western Africa,NGA,Nigeria,2000,6,725
165,Western Africa,SEN,Senegal,2000,6,150
166,Western Africa,SLE,Sierra Leone,2000,6,3825
167,Eastern Africa,BDI,Burundi,2000,7,3325
168,Eastern Africa,ETH,Ethiopia,2000,7,3000
169,Eastern Africa,KEN,Kenya,2000,7,575
170,Eastern Africa,SOM,Somalia,2000,7,400
171,Eastern Africa,UGA,Uganda,2000,7,2300
172,Middle Africa,AGO,Angola,2000,7,2225
173,Middle Africa,CAF,Central African Republic,2000,7,50
174,Middle Africa,COD,Democratic Republic of Congo,2000,7,675
175,Middle Africa,COG,Republic of Congo,2000,7,450
176,Middle Africa,TCD,Chad,2000,7,450
177,Northern Africa,DZA,Algeria,2000,7,1825
178,Northern Africa,LBY,Libya,2000,7,25
179,Northern Africa,MAR,Morocco,2000,7,0
180,Northern Africa,SDN,Sudan,2000,7,2600
181,Southern Africa,NAM,Namibia,2000,7,75
182,Southern Africa,ZAF,South Africa,2000,7,270
183,Southern Africa,ZMB,Zambia,2000,7,65
184,Southern Africa,ZWE,Zimbabwe,2000,7,125
185,Western Africa,CIV,Ivory Coast,2000,7,1045
186,Western Africa,GHA,Ghana,2000,7,20
187,Western Africa,LBR,Liberia,2000,7,2175
188,Western Africa,NGA,Nigeria,2000,7,700
189,Western Africa,SEN,Senegal,2000,7,630
190,Western Africa,SLE,Sierra Leone,2000,7,2350
191,Eastern Africa,BDI,Burundi,2000,8,5245
192,Eastern Africa,ETH,Ethiopia,2000,8,1800
