,iso3,country,year,month,unrest_index
177,TUN,Tunisia,2004,1,0.0004876580256316376
178,DZA,Algeria,2004,2,0.21158353055479978
179,LBY,Libya,2004,2,0.023393812865027785
180,MAR,Morocco,2004,2,0.06814941937963828
181,SDN,Sudan,2004,2,0.05842143147066914
182,DZA,Algeria,2004,3,0.2199930602340268
183,LBY,Libya,2004,3,0.013029037333689875
184,SDN,Sudan,2004,3,0.07314870384474434
185,TUN,Tunisia,2004,3,0.0003901264205052879
186,DZA,Algeria,2004,4,0.2256544319770815
187,SDN,Sudan,2004,4,0.16759304432966377
188,TUN,Tunisia,2004,4,0.02133559002244889
189,DZA,Algeria,2004,5,0.0222372059688023
190,LBY,Libya,2004,5,0.0004876580256316376
191,SDN,Sudan,2004,5,0.11298393157809183
192,DZA,Algeria,2004,6,0.07670360925801248
193,LBY,Libya,2004,6,0.02397313325371908
194,SDN,Sudan,2004,6,0.03901264205053029
195,DZA,Algeria,2004,7,0.18474224798447814
196,MAR,Morocco,2004,7,0.0004876580256316376
197,SDN,Sudan,2004,7,0.3029920858201096
198,DZA,Algeria,2004,8,0.17467112121071615
199,MAR,Morocco,2004,8,0.07252385761532479
200,SDN,Sudan,2004,8,0.15454564969901238
201,DZA,Algeria,2004,9,0.03462371981984563
202,SDN,Sudan,2004,9,0.1397887843646141
203,DZA,Algeria,2004,10,0.07899788828847579
204,EGY,Egypt,2004,10,0.0014629740768948851
205,SDN,Sudan,2004,10,0.11144332565039083
206,TUN,Tunisia,2004,10,0.0003901264205052879
207,DZA,Algeria,2004,11,0.019506321025265144
208,EGY,Egypt,2004,11,0.004312733663901447
209,MAR,Morocco,2004,11,0.0003901264205052879
210,SDN,Sudan,2004,11,0.10003216349803723
211,DZA,Algeria,2004,12,0.07933768466811944
212,SDN,Sudan,2004,12,0.09216736684437789
213,TUN,Tunisia,2004,12,0.0004876580256316376
214,DZA,Algeria,2005,1,0.12546465186079803
215,EGY,Egypt,2005,1,0.013311719800177785
216,MAR,Morocco,2005,1,0.0003901264205052879
217,SDN,Sudan,2005,1,0.07794487147427209
218,DZA,Algeria,2005,2,0.028771823512266093
219,EGY,Egypt,2005,2,0.06821986449636269
220,SDN,Sudan,2005,2,0.05608067294763734
221,DZA,Algeria,2005,3,0.011703792615159081
222,EGY,Egypt,2005,3,0.07959781043801709
223,MAR,Morocco,2005,3,0.0003901264205052879
224,SDN,Sudan,2005,3,0.05217940874258428
225,TUN,Tunisia,2005,3,0.0003901264205052879
226,DZA,Algeria,2005,4,0.00341360617942138
227,EGY,Egypt,2005,4,0.01828765140297428
228,SDN,Sudan,2005,4,0.08123844667395358
229,DZA,Algeria,2005,5,0.023797711650823478
230,EGY,Egypt,2005,5,0.21113405476123628
231,LBY,Libya,2005,5,0.0004876580256316376
232,MAR,Morocco,2005,5,0.07213728426100727
233,SDN,Sudan,2005,5,0.08584017814014169
234,DZA,Algeria,2005,6,0.07784378394920402
235,EGY,Egypt,2005,6,0.082560869548162
236,LBY,Libya,2005,6,0.0008777844461369255
237,MAR,Morocco,2005,6,0.2127822782275606
238,SDN,Sudan,2005,6,0.11037894463753722
239,DZA,Algeria,2005,7,0.013654424717685631
240,EGY,Egypt,2005,7,0.045613268822057046
241,MAR,Morocco,2005,7,0.0003901264205052879
242,SDN,Sudan,2005,7,0.022432269179054942
243,DZA,Algeria,2005,8,0.12010159253276914
244,EGY,Egypt,2005,8,0.03515673094437283
245,MAR,Morocco,2005,8,0.07152100234260714
246,SDN,Sudan,2005,8,0.2201315857107723
247,DZA,Algeria,2005,9,0.1860133320469423
248,SDN,Sudan,2005,9,0.1525066282422874
249,DZA,Algeria,2005,10,0.021456953127791695
250,EGY,Egypt,2005,10,0.019814582815506465
251,LBY,Libya,2005,10,0.06033145028549752
252,MAR,Morocco,2005,10,0.0007802528410106313
253,SDN,Sudan,2005,10,0.09719202094154583
254,DZA,Algeria,2005,11,0.06276535644998513
255,EGY,Egypt,2005,11,0.04445923748420788
256,LBY,Libya,2005,11,0.060878703271124074
257,MAR,Morocco,2005,11,0.07136760233083553
258,SDN,Sudan,2005,11,0.10262670826363843
259,TUN,Tunisia,2005,11,0.13027726979630885
260,DZA,Algeria,2005,12,0.007314870384474426
261,EGY,Egypt,2005,12,0.04339618237920237
262,LBY,Libya,2005,12,0.0004876580256316376
263,MAR,Morocco,2005,12,0.0004876580256316376
264,SDN,Sudan,2005,12,0.013069235086927644
265,DZA,Algeria,2006,1,0.02291992720468658
266,LBY,Libya,2006,1,0.060323564106018135
267,SDN,Sudan,2006,1,0.28357111358622566
268,DZA,Algeria,2006,2,0.011411197799780143
269,LBY,Libya,2006,2,0.14505418394453468
270,MAR,Morocco,2006,2,0.14068381726340373
271,SDN,Sudan,2006,2,0.23340351366408918
272,DZA,Algeria,2006,3,0.07334632106767103
273,MAR,Morocco,2006,3,0.07077465877949901
274,SDN,Sudan,2006,3,0.1946064632142772
275,DZA,Algeria,2006,4,0.03257555611219279
276,EGY,Egypt,2006,4,0.0363475593754177
277,MAR,Morocco,2006,4,0.0007802528410106313
278,SDN,Sudan,2006,4,0.3112557416309584
279,DZA,Algeria,2006,5,0.03754966797363543
280,EGY,Egypt,2006,5,0.09510945803685837
281,MAR,Morocco,2006,5,0.13998423601535415
282,SDN,Sudan,2006,5,0.2919466919996473
283,DZA,Algeria,2006,6,0.12383299375840454
284,EGY,Egypt,2006,6,0.051359555116611194
285,SDN,Sudan,2006,6,0.15815650747779303
286,DZA,Algeria,2006,7,0.09294476986888095
287,EGY,Egypt,2006,7,0.029921950606329795
288,MAR,Morocco,2006,7,0.06977903140505243
289,SDN,Sudan,2006,7,0.22624210859501273
290,DZA,Algeria,2006,8,0.0782156941387214
291,MAR,Morocco,2006,8,0.0003901264205052879
292,SDN,Sudan,2006,8,0.1164886718410247
293,DZA,Algeria,2006,9,0.033648403768582386
294,SDN,Sudan,2006,9,0.25818156454375474
295,DZA,Algeria,2006,10,0.04096327415305684
296,LBY,Libya,2006,10,0.01269925980977546
