,iso3,country,year,month,unrest_index
10074,MAR,Morocco,2006,3,45
10331,SDN,Sudan,2006,3,975
9411,DZA,Algeria,2006,4,1670
9655,EGY,Egypt,2006,4,100
10075,MAR,Morocco,2006,4,40
10332,SDN,Sudan,2006,4,1575
9412,DZA,Algeria,2006,5,1925
9656,EGY,Egypt,2006,5,40
10076,MAR,Morocco,2006,5,40
10333,SDN,Sudan,2006,5,625
9413,DZA,Algeria,2006,6,3575
9657,EGY,Egypt,2006,6,0
10334,SDN,Sudan,2006,6,950
9414,DZA,Algeria,2006,7,1995
9658,EGY,Egypt,2006,7,0
10077,MAR,Morocco,2006,7,20
10335,SDN,Sudan,2006,7,875
9415,DZA,Algeria,2006,8,1245
10078,MAR,Morocco,2006,8,20
10336,SDN,Sudan,2006,8,620
9416,DZA,Algeria,2006,9,1725
10337,SDN,Sudan,2006,9,725
9417,DZA,Algeria,2006,10,2100
9869,LBY,Libya,2006,10,45
10079,MAR,Morocco,2006,10,75
10338,SDN,Sudan,2006,10,1550
9418,DZA,Algeria,2006,11,2075
10080,MAR,Morocco,2006,11,40
10339,SDN,Sudan,2006,11,2125
9419,DZA,Algeria,2006,12,450
9659,EGY,Egypt,2006,12,0
10081,MAR,Morocco,2006,12,40
10340,SDN,Sudan,2006,12,1400
10549,TUN,Tunisia,2006,12,150
9420,DZA,Algeria,2007,1,1825
10082,MAR,Morocco,2007,1,20
10341,SDN,Sudan,2007,1,1025
10550,TUN,Tunisia,2007,1,150
9421,DZA,Algeria,2007,2,3425
9660,EGY,Egypt,2007,2,20
10083,MAR,Morocco,2007,2,20
10342,SDN,Sudan,2007,2,1100
9422,DZA,Algeria,2007,3,4225
9661,EGY,Egypt,2007,3,0
10084,MAR,Morocco,2007,3,20
10343,SDN,Sudan,2007,3,595
9423,DZA,Algeria,2007,4,2520
9662,EGY,Egypt,2007,4,0
10085,MAR,Morocco,2007,4,75
10344,SDN,Sudan,2007,4,1850
9424,DZA,Algeria,2007,5,2775
9663,EGY,Egypt,2007,5,25
10086,MAR,Morocco,2007,5,90
10345,SDN,Sudan,2007,5,450
9425,DZA,Algeria,2007,6,4150
9664,EGY,Egypt,2007,6,0
10087,MAR,Morocco,2007,6,45
10346,SDN,Sudan,2007,6,325
9426,DZA,Algeria,2007,7,4275
9665,EGY,Egypt,2007,7,25
9870,LBY,Libya,2007,7,25
10088,MAR,Morocco,2007,7,150
10347,SDN,Sudan,2007,7,200
9427,DZA,Algeria,2007,8,2625
9666,EGY,Egypt,2007,8,0
10089,MAR,Morocco,2007,8,75
10348,SDN,Sudan,2007,8,1225
9428,DZA,Algeria,2007,9,2945
10090,MAR,Morocco,2007,9,40
10349,SDN,Sudan,2007,9,1325
9429,DZA,Algeria,2007,10,4050
10350,SDN,Sudan,2007,10,1275
9430,DZA,Algeria,2007,11,600
10351,SDN,Sudan,2007,11,400
9431,DZA,Algeria,2007,12,1825
9667,EGY,Egypt,2007,12,0
10091,MAR,Morocco,2007,12,25
10352,SDN,Sudan,2007,12,975
9432,DZA,Algeria,2008,1,1695
9668,EGY,Egypt,2008,1,305
10092,MAR,Morocco,2008,1,25
10353,SDN,Sudan,2008,1,1800
10551,TUN,Tunisia,2008,1,180
9433,DZA,Algeria,2008,2,2525
9669,EGY,Egypt,2008,2,125
10354,SDN,Sudan,2008,2,2875
10552,TUN,Tunisia,2008,2,20
9434,DZA,Algeria,2008,3,2300
9670,EGY,Egypt,2008,3,350
9871,LBY,Libya,2008,3,0
10093,MAR,Morocco,2008,3,20
10355,SDN,Sudan,2008,3,2675
10553,TUN,Tunisia,2008,3,20
9435,DZA,Algeria,2008,4,1915
9671,EGY,Egypt,2008,4,160
10356,SDN,Sudan,2008,4,2520
10554,TUN,Tunisia,2008,4,145
9436,DZA,Algeria,2008,5,1450
9672,EGY,Egypt,2008,5,225
9872,LBY,Libya,2008,5,25
10094,MAR,Morocco,2008,5,20
10357,SDN,Sudan,2008,5,4525
10555,TUN,Tunisia,2008,5,135
9437,DZA,Algeria,2008,6,2270
9673,EGY,Egypt,2008,6,90
9873,LBY,Libya,2008,6,20
10095,MAR,Morocco,2008,6,25
10358,SDN,Sudan,2008,6,1770
10556,TUN,Tunisia,2008,6,135
9438,DZA,Algeria,2008,7,1620
9674,EGY,Egypt,2008,7,370
10096,MAR,Morocco,2008,7,25
10359,SDN,Sudan,2008,7,2575
10557,TUN,Tunisia,2008,7,20
9439,DZA,Algeria,2008,8,2675
9675,EGY,Egypt,2008,8,200
10097,MAR,Morocco,2008,8,20
10360,SDN,Sudan,2008,8,2145
9440,DZA,Algeria,2008,9,2200
9676,EGY,Egypt,2008,9,100
10361,SDN,Sudan,2008,9,2600
9441,DZA,Algeria,2008,10,990
9677,EGY,Egypt,2008,10,200
10098,MAR,Morocco,2008,10,20
10362,SDN,Sudan,2008,10,425
9442,DZA,Algeria,2008,11,325
9678,EGY,Egypt,2008,11,920
9874,LBY,Libya,2008,11,320
10099,MAR,Morocco,2008,11,25
10363,SDN,Sudan,2008,11,1025
9443,DZA,Algeria,2008,12,1490
9679,EGY,Egypt,2008,12,420
10100,MAR,Morocco,2008,12,20
10364,SDN,Sudan,2008,12,1200
9444,DZA,Algeria,2009,1,875
9680,EGY,Egypt,2009,1,285
10365,SDN,Sudan,2009,1,4425
10558,TUN,Tunisia,2009,1,20
9445,DZA,Algeria,2009,2,1000
9681,EGY,Egypt,2009,2,175
10101,MAR,Morocco,2009,2,20
10366,SDN,Sudan,2009,2,3625
9446,DZA,Algeria,2009,3,2925
9682,EGY,Egypt,2009,3,50
9875,LBY,Libya,2009,3,20
10102,MAR,Morocco,2009,3,25
10367,SDN,Sudan,2009,3,2550
9447,DZA,Algeria,2009,4,2695
9683,EGY,Egypt,2009,4,245
10103,MAR,Morocco,2009,4,20
10368,SDN,Sudan,2009,4,1350
9448,DZA,Algeria,2009,5,2195
9684,EGY,Egypt,2009,5,225
9876,LBY,Libya,2009,5,0
10104,MAR,Morocco,2009,5,20
10369,SDN,Sudan,2009,5,1800
9449,DZA,Algeria,2009,6,2650
9685,EGY,Egypt,2009,6,50
9877,LBY,Libya,2009,6,20
10370,SDN,Sudan,2009,6,500
9450,DZA,Algeria,2009,7,2925
9686,EGY,Egypt,2009,7,195
10371,SDN,Sudan,2009,7,825
9451,DZA,Algeria,2009,8,1475
9687,EGY,Egypt,2009,8,20
9878,LBY,Libya,2009,8,50
10372,SDN,Sudan,2009,8,2165
9452,DZA,Algeria,2009,9,450
9688,EGY,Egypt,2009,9,225
10373,SDN,Sudan,2009,9,1400
9453,DZA,Algeria,2009,10,3050
9689,EGY,Egypt,2009,10,200
9879,LBY,Libya,2009,10,20
10374,SDN,Sudan,2009,10,3125
9454,DZA,Algeria,2009,11,1875
9690,EGY,Egypt,2009,11,225
10105,MAR,Morocco,2009,11,40
10375,SDN,Sudan,2009,11,1325
9455,DZA,Algeria,2009,12,675
9691,EGY,Egypt,2009,12,90
10376,SDN,Sudan,2009,12,1920
9456,DZA,Algeria,2010,1,820
9692,EGY,Egypt,2010,1,405
9880,LBY,Libya,2010,1,50
10377,SDN,Sudan,2010,1,1545
9457,DZA,Algeria,2010,2,1200
9693,EGY,Egypt,2010,2,280
10378,SDN,Sudan,2010,2,3225
10559,TUN,Tunisia,2010,2,25
9458,DZA,Algeria,2010,3,700
9694,EGY,Egypt,2010,3,145
10106,MAR,Morocco,2010,3,20
10379,SDN,Sudan,2010,3,1475
9459,DZA,Algeria,2010,4,1125
9695,EGY,Egypt,2010,4,300
9881,LBY,Libya,2010,4,0
10380,SDN,Sudan,2010,4,1500
9460,DZA,Algeria,2010,5,800
9696,EGY,Egypt,2010,5,370
9882,LBY,Libya,2010,5,25
10381,SDN,Sudan,2010,5,2250
9461,DZA,Algeria,2010,6,1020
9697,EGY,Egypt,2010,6,530
9883,LBY,Libya,2010,6,20
10107,MAR,Morocco,2010,6,20
10382,SDN,Sudan,2010,6,4100
9462,DZA,Algeria,2010,7,1275
9698,EGY,Egypt,2010,7,145
10108,MAR,Morocco,2010,7,25
10383,SDN,Sudan,2010,7,1815
9463,DZA,Algeria,2010,8,1300
9699,EGY,Egypt,2010,8,120
10109,MAR,Morocco,2010,8,40
10384,SDN,Sudan,2010,8,1100
10560,TUN,Tunisia,2010,8,95
9464,DZA,Algeria,2010,9,675
9700,EGY,Egypt,2010,9,165
10110,MAR,Morocco,2010,9,150
10385,SDN,Sudan,2010,9,1075
9465,DZA,Algeria,2010,10,300
9701,EGY,Egypt,2010,10,45
9884,LBY,Libya,2010,10,75
10111,MAR,Morocco,2010,10,65
10386,SDN,Sudan,2010,10,1170
9466,DZA,Algeria,2010,11,1895
9702,EGY,Egypt,2010,11,320
10112,MAR,Morocco,2010,11,215
10387,SDN,Sudan,2010,11,1935
9467,DZA,Algeria,2010,12,1425
9703,EGY,Egypt,2010,12,120
10113,MAR,Morocco,2010,12,75
10388,SDN,Sudan,2010,12,2970
10561,TUN,Tunisia,2010,12,470
9468,DZA,Algeria,2011,1,3255
9704,EGY,Egypt,2011,1,5345
9885,LBY,Libya,2011,1,25
10114,MAR,Morocco,2011,1,80
10389,SDN,Sudan,2011,1,1995
10562,TUN,Tunisia,2011,1,5850
9469,DZA,Algeria,2011,2,2160
9705,EGY,Egypt,2011,2,8695
9886,LBY,Libya,2011,2,6015
10115,MAR,Morocco,2011,2,790
10390,SDN,Sudan,2011,2,2055
10563,TUN,Tunisia,2011,2,1285
9470,DZA,Algeria,2011,3,1230
9706,EGY,Egypt,2011,3,1305
9887,LBY,Libya,2011,3,15495
10116,MAR,Morocco,2011,3,530
10391,SDN,Sudan,2011,3,3245
10564,TUN,Tunisia,2011,3,415
9471,DZA,Algeria,2011,4,2065
9707,EGY,Egypt,2011,4,1710
9888,LBY,Libya,2011,4,8415
10117,MAR,Morocco,2011,4,560
10392,SDN,Sudan,2011,4,3925
10565,TUN,Tunisia,2011,4,720
9472,DZA,Algeria,2011,5,1610
9708,EGY,Egypt,2011,5,4570
9889,LBY,Libya,2011,5,3570
10118,MAR,Morocco,2011,5,530
10393,SDN,Sudan,2011,5,3670
10566,TUN,Tunisia,2011,5,1530
9473,DZA,Algeria,2011,6,1350
9709,EGY,Egypt,2011,6,3330
9890,LBY,Libya,2011,6,5115
10119,MAR,Morocco,2011,6,300
10394,SDN,Sudan,2011,6,3245
10567,TUN,Tunisia,2011,6,275
9474,DZA,Algeria,2011,7,2070
9710,EGY,Egypt,2011,7,1975
9891,LBY,Libya,2011,7,6525
10120,MAR,Morocco,2011,7,525
10395,SDN,Sudan,2011,7,490
10568,TUN,Tunisia,2011,7,1355
9475,DZA,Algeria,2011,8,2125
9711,EGY,Egypt,2011,8,2255
9892,LBY,Libya,2011,8,9300
10121,MAR,Morocco,2011,8,50
10396,SDN,Sudan,2011,8,420
10569,TUN,Tunisia,2011,8,855
9476,DZA,Algeria,2011,9,1865
9712,EGY,Egypt,2011,9,1250
9893,LBY,Libya,2011,9,3845
10122,MAR,Morocco,2011,9,390
10397,SDN,Sudan,2011,9,2695
10570,TUN,Tunisia,2011,9,805
9477,DZA,Algeria,2011,10,1215
9713,EGY,Egypt,2011,10,3690
9894,LBY,Libya,2011,10,1775
10123,MAR,Morocco,2011,10,285
10398,SDN,Sudan,2011,10,870
10571,TUN,Tunisia,2011,10,465
9478,DZA,Algeria,2011,11,870
9714,EGY,Egypt,2011,11,3165
9895,LBY,Libya,2011,11,490
10124,MAR,Morocco,2011,11,100
10399,SDN,Sudan,2011,11,1040
10572,TUN,Tunisia,2011,11,660
9479,DZA,Algeria,2011,12,685
9715,EGY,Egypt,2011,12,2195
9896,LBY,Libya,2011,12,835
10125,MAR,Morocco,2011,12,80
10400,SDN,Sudan,2011,12,2460
10573,TUN,Tunisia,2011,12,1500
9480,DZA,Algeria,2012,1,1270
9716,EGY,Egypt,2012,1,630
9897,LBY,Libya,2012,1,1525
10126,MAR,Morocco,2012,1,25
10401,SDN,Sudan,2012,1,1475
10574,TUN,Tunisia,2012,1,1470
9481,DZA,Algeria,2012,2,1220
9717,EGY,Egypt,2012,2,835
9898,LBY,Libya,2012,2,1335
10127,MAR,Morocco,2012,2,290
10402,SDN,Sudan,2012,2,1545
10575,TUN,Tunisia,2012,2,820
9482,DZA,Algeria,2012,3,1000
9718,EGY,Egypt,2012,3,295
9899,LBY,Libya,2012,3,1215
10128,MAR,Morocco,2012,3,335
10403,SDN,Sudan,2012,3,1940
10576,TUN,Tunisia,2012,3,900
9483,DZA,Algeria,2012,4,1230
9719,EGY,Egypt,2012,4,530
9900,LBY,Libya,2012,4,1970
10129,MAR,Morocco,2012,4,20
10404,SDN,Sudan,2012,4,1545
10577,TUN,Tunisia,2012,4,995
9484,DZA,Algeria,2012,5,1460
9720,EGY,Egypt,2012,5,700
9901,LBY,Libya,2012,5,460
10130,MAR,Morocco,2012,5,150
10405,SDN,Sudan,2012,5,2765
10578,TUN,Tunisia,2012,5,580
9485,DZA,Algeria,2012,6,1585
9721,EGY,Egypt,2012,6,1015
9902,LBY,Libya,2012,6,3495
10131,MAR,Morocco,2012,6,80
10406,SDN,Sudan,2012,6,4620
10579,TUN,Tunisia,2012,6,760
9486,DZA,Algeria,2012,7,1535
9722,EGY,Egypt,2012,7,1135
9903,LBY,Libya,2012,7,870
10407,SDN,Sudan,2012,7,4790
10580,TUN,Tunisia,2012,7,135
9487,DZA,Algeria,2012,8,1780
9723,EGY,Egypt,2012,8,2715
9904,LBY,Libya,2012,8,1445
10132,MAR,Morocco,2012,8,180
10408,SDN,Sudan,2012,8,4355
10581,TUN,Tunisia,2012,8,715
9488,DZA,Algeria,2012,9,445
9724,EGY,Egypt,2012,9,1570
9905,LBY,Libya,2012,9,1210
10133,MAR,Morocco,2012,9,125
10409,SDN,Sudan,2012,9,7490
10582,TUN,Tunisia,2012,9,310
9489,DZA,Algeria,2012,10,1210
9725,EGY,Egypt,2012,10,965
9906,LBY,Libya,2012,10,2305
10134,MAR,Morocco,2012,10,145
10410,SDN,Sudan,2012,10,6945
10583,TUN,Tunisia,2012,10,680
9490,DZA,Algeria,2012,11,880
9726,EGY,Egypt,2012,11,3385
9907,LBY,Libya,2012,11,1405
10135,MAR,Morocco,2012,11,170
10411,SDN,Sudan,2012,11,5780
10584,TUN,Tunisia,2012,11,1005
9491,DZA,Algeria,2012,12,1485
9727,EGY,Egypt,2012,12,1800
9908,LBY,Libya,2012,12,1470
10136,MAR,Morocco,2012,12,240
10412,SDN,Sudan,2012,12,6395
10585,TUN,Tunisia,2012,12,890
9492,DZA,Algeria,2013,1,1115
9728,EGY,Egypt,2013,1,2040
9909,LBY,Libya,2013,1,1915
10137,MAR,Morocco,2013,1,40
10413,SDN,Sudan,2013,1,5785
10586,TUN,Tunisia,2013,1,810
9493,DZA,Algeria,2013,2,1435
9729,EGY,Egypt,2013,2,3350
9910,LBY,Libya,2013,2,1070
10138,MAR,Morocco,2013,2,105
10414,SDN,Sudan,2013,2,4855
10587,TUN,Tunisia,2013,2,1430
9494,DZA,Algeria,2013,3,1695
9730,EGY,Egypt,2013,3,5350
9911,LBY,Libya,2013,3,1930
10139,MAR,Morocco,2013,3,210
10415,SDN,Sudan,2013,3,5180
10588,TUN,Tunisia,2013,3,755
9495,DZA,Algeria,2013,4,1200
9731,EGY,Egypt,2013,4,2455
9912,LBY,Libya,2013,4,2270
10140,MAR,Morocco,2013,4,100
10416,SDN,Sudan,2013,4,9420
10589,TUN,Tunisia,2013,4,565
9496,DZA,Algeria,2013,5,2800
9732,EGY,Egypt,2013,5,3250
9913,LBY,Libya,2013,5,2415
10141,MAR,Morocco,2013,5,295
10417,SDN,Sudan,2013,5,6585
10590,TUN,Tunisia,2013,5,1265
9497,DZA,Algeria,2013,6,1355
9733,EGY,Egypt,2013,6,5255
9914,LBY,Libya,2013,6,2275
10142,MAR,Morocco,2013,6,175
10418,SDN,Sudan,2013,6,5450
10591,TUN,Tunisia,2013,6,565
9498,DZA,Algeria,2013,7,1965
9734,EGY,Egypt,2013,7,15975
9915,LBY,Libya,2013,7,2405
10143,MAR,Morocco,2013,7,180
10419,SDN,Sudan,2013,7,5010
10592,TUN,Tunisia,2013,7,615
9499,DZA,Algeria,2013,8,1385
9735,EGY,Egypt,2013,8,15060
9916,LBY,Libya,2013,8,2785
10144,MAR,Morocco,2013,8,210
10420,SDN,Sudan,2013,8,4895
